"description","regex"
"Identify a string where the substring 'state' is immediately followed by a two-digit id.","^.*state\d{2}.*$"
"Capture a string that is exactly the word 'temp'.","^temp$"
"Extract a string of between four and eight word characters.","^\w{4,8}$"
"Test whether the input is a string that starts with the word 'minute'.","^minute.*$"
"Capture a string that starts with the word 'admin'.","^admin.*$"
"Find a string where one or more digits come immediately before the word 'token'.","^.*\d+token.*$"
"Search for a string made of four uppercase letters followed by four digits.","^[A-Z]{4}[0-9]{4}$"
"Extract a string of exactly three whitespace characters.","^\s{3}$"
"Extract a string of two letters and two digits separated by a underscore.","^[A-Za-z]{2}_[0-9]{2}$"
"Match a string of four letters and four digits separated by a hyphen.","^[A-Za-z]{4}-[0-9]{4}$"
"Check if the input is the run of digits that appears right after a hash sign, using a positive lookbehind.","(?<=#)\d+"
"Validate a string containing the same digit repeated five times in a row.","^.*(\d)\1{4}.*$"
"Find a string where the substring 'graph' is immediately followed by a two-digit id.","^.*graph\d{2}.*$"
"Validate a string where the substring 'test' is immediately followed by a three-digit id.","^.*test\d{3}.*$"
"Validate a string of exactly seven uppercase letters.","^[A-Z]{7}$"
"Match a string of three uppercase letters and two digits separated by a colon.","^[A-Z]{3}:[0-9]{2}$"
"Search for a string of exactly four consonants.","^[bcdfghjklmnpqrstvwxyz]{4}$"
"Detect a string of two uppercase letters and three digits separated by a dot.","^[A-Z]{2}\.[0-9]{3}$"
"Identify a string of four uppercase letters and two digits separated by a underscore.","^[A-Z]{4}_[0-9]{2}$"
"Identify a string where the substring 'amount' is immediately followed by a six-digit id.","^.*amount\d{6}.*$"
"Extract a string where the substring 'amount' is immediately followed by a three-digit id.","^.*amount\d{3}.*$"
"Extract a string that starts with the word 'task'.","^task.*$"
"Find a string where one or more digits come immediately before the word 'task'.","^.*\d+task.*$"
"Identify a string where the substring 'account' is immediately followed by a two-digit id.","^.*account\d{2}.*$"
"Extract a string of exactly six whitespace characters.","^\s{6}$"
"Search for a string where the word 'cache' is followed by one or more digits.","^.*cache\d+.*$"
"Find a string that ends with the word 'error'.","^.*error$"
"Search for a string where the word 'edge' is followed by one or more digits.","^.*edge\d+.*$"
"Validate a string of at least three whitespace characters.","^\s{3,}$"
"Match a string containing the substring 'batch'.","^.*batch.*$"
"Identify a string where the substring 'beta' is immediately followed by a four-digit id.","^.*beta\d{4}.*$"
"Extract a string of exactly ten letters.","^[A-Za-z]{10}$"
"Search for a string that ends with the word 'level'.","^.*level$"
"Find a string where one or more digits come immediately before the word 'login'.","^.*\d+login.*$"
"Validate a string where one or more digits come immediately before the word 'queue'.","^.*\d+queue.*$"
"Identify a string where the substring 'phone' is immediately followed by a three-digit id.","^.*phone\d{3}.*$"
"Capture a string where the substring 'order' is immediately followed by a two-digit id.","^.*order\d{2}.*$"
"Validate a string of between two and six uppercase letters.","^[A-Z]{2,6}$"
"Detect a string where one or more digits come immediately before the word 'token'.","^.*\d+token.*$"
"Identify a string where the substring 'minute' is immediately followed by a two-digit id.","^.*minute\d{2}.*$"
"Find a string where the word 'hour' is followed by one or more digits.","^.*hour\d+.*$"
"Check if the input is a string of word characters that does not start with the word 'Token', using a negative lookahead.","^(?!Token)\w+$"
"Search for a string of four uppercase letters and two digits separated by a colon.","^[A-Z]{4}:[0-9]{2}$"
"Identify a string of at least eight letters.","^[A-Za-z]{8,}$"
"Check if the input is a string that is exactly the word 'temp'.","^temp$"
"Find a string of between three and five digits.","^[0-9]{3,5}$"
"Match a string where the substring 'code' is immediately followed by a four-digit id.","^.*code\d{4}.*$"
"Test whether the input is a string of two uppercase letters and two digits separated by a colon.","^[A-Z]{2}:[0-9]{2}$"
"Identify a string where the substring 'flag' is immediately followed by a four-digit id.","^.*flag\d{4}.*$"
"Find a string that ends with the word 'account'.","^.*account$"
"Check if the input is a string where the substring 'profile' is immediately followed by a two-digit id.","^.*profile\d{2}.*$"
"Detect a string containing the substring 'order'.","^.*order.*$"
"Detect a string made of two uppercase letters followed by one digit.","^[A-Z]{2}[0-9]{1}$"
"Match a string made of one lowercase letter followed by one digit.","^[a-z]{1}[0-9]{1}$"
"Detect a string that ends with the word 'time'.","^.*time$"
"Capture a string of two lowercase letters and two digits separated by a slash.","^[a-z]{2}/[0-9]{2}$"
"Validate a string where the substring 'gamma' is immediately followed by a five-digit id.","^.*gamma\d{5}.*$"
"Match a string of four letters and two digits separated by a underscore.","^[A-Za-z]{4}_[0-9]{2}$"
"Detect a string of four letters and two digits separated by a colon.","^[A-Za-z]{4}:[0-9]{2}$"
"Validate a string of between five and ten uppercase letters.","^[A-Z]{5,10}$"
"Check if the input is a string of four uppercase letters and three digits separated by a colon.","^[A-Z]{4}:[0-9]{3}$"
"Validate a string where the substring 'gamma' is immediately followed by a two-digit id.","^.*gamma\d{2}.*$"
"Detect a string made of one uppercase letter followed by four digits.","^[A-Z]{1}[0-9]{4}$"
"Match a string of three lowercase letters and two digits separated by a dot.","^[a-z]{3}\.[0-9]{2}$"
"Check if the input is a string of exactly three word characters.","^\w{3}$"
"Identify a string where the substring 'cache' is immediately followed by a three-digit id.","^.*cache\d{3}.*$"
"Search for a string of four lowercase letters and two digits separated by a colon.","^[a-z]{4}:[0-9]{2}$"
"Test whether the input is a string made of two uppercase letters followed by three lowercase letters.","^[A-Z]{2}[a-z]{3}$"
"Extract a string of four letters and three digits separated by a dot.","^[A-Za-z]{4}\.[0-9]{3}$"
"Capture a string where the substring 'profile' is immediately followed by a three-digit id.","^.*profile\d{3}.*$"
"Find a string made of two uppercase letters followed by two digits.","^[A-Z]{2}[0-9]{2}$"
"Check if the input is the run of digits that appears right after a dollar sign, using a positive lookbehind.","(?<=\$)\d+"
"Find a string containing the substring 'day'.","^.*day.*$"
"Extract a string of between four and eight lowercase letters.","^[a-z]{4,8}$"
"Match a string of between one and three uppercase letters.","^[A-Z]{1,3}$"
"Extract a string of between two and four digits.","^[0-9]{2,4}$"
"Find a string of exactly seven word characters.","^\w{7}$"
"Identify a string containing the standalone whole word 'cache'.","^.*\bcache\b.*$"
"Validate a string where the substring 'country' is immediately followed by a three-digit id.","^.*country\d{3}.*$"
"Extract a string of word characters that does not start with the word 'Admin', using a negative lookahead.","^(?!Admin)\w+$"
"Test whether the input is a string where the substring 'data' is immediately followed by a three-digit id.","^.*data\d{3}.*$"
"Match a string made of two letters followed by three digits.","^[A-Za-z]{2}[0-9]{3}$"
"Detect a string where the substring 'profile' is immediately followed by a four-digit id.","^.*profile\d{4}.*$"
"Extract a string made of three uppercase letters followed by two lowercase letters.","^[A-Z]{3}[a-z]{2}$"
"Detect a string where the substring 'task' is immediately followed by a two-digit id.","^.*task\d{2}.*$"
"Find a string of three lowercase letters and two digits separated by a hyphen.","^[a-z]{3}-[0-9]{2}$"
"Search for a string that is exactly the word 'cache'.","^cache$"
"Check if the input is a string of zero or more lowercase letters.","^[a-z]*$"
"Capture a string that starts with the word 'time'.","^time.*$"
"Capture a string of exactly four alphanumeric characters.","^[A-Za-z0-9]{4}$"
"Extract a string containing the standalone whole word 'report'.","^.*\breport\b.*$"
"Check if the input is a string of exactly four consonants.","^[bcdfghjklmnpqrstvwxyz]{4}$"
"Search for a string where the substring 'temp' is immediately followed by a four-digit id.","^.*temp\d{4}.*$"
"Capture a string where the substring 'hour' is immediately followed by a two-digit id.","^.*hour\d{2}.*$"
"Validate a string where the substring 'hour' is immediately followed by a two-digit id.","^.*hour\d{2}.*$"
"Search for a string that starts with the word 'email'.","^email.*$"
"Search for a string where the substring 'email' is immediately followed by a three-digit id.","^.*email\d{3}.*$"
"Extract a string where the substring 'month' is immediately followed by a six-digit id.","^.*month\d{6}.*$"
"Validate a string where the substring 'batch' is immediately followed by a six-digit id.","^.*batch\d{6}.*$"
"Identify a string where the substring 'phone' is immediately followed by a four-digit id.","^.*phone\d{4}.*$"
"Test whether the input is a string where the substring 'day' is immediately followed by a three-digit id.","^.*day\d{3}.*$"
"Find a string made of four uppercase letters followed by three lowercase letters.","^[A-Z]{4}[a-z]{3}$"
"Validate a string of two lowercase letters and four digits separated by a dot.","^[a-z]{2}\.[0-9]{4}$"
"Detect a string that is exactly the word 'beta'.","^beta$"
"Search for a string of four uppercase letters and four digits separated by a slash.","^[A-Z]{4}/[0-9]{4}$"
"Check if the input is a string where the substring 'node' is immediately followed by a two-digit id.","^.*node\d{2}.*$"
"Extract a string where the substring 'profile' is immediately followed by a five-digit id.","^.*profile\d{5}.*$"
"Match a string that is exactly the word 'year'.","^year$"
"Validate a string containing the substring 'admin'.","^.*admin.*$"
"Capture a string where the substring 'city' is immediately followed by a two-digit id.","^.*city\d{2}.*$"
"Test whether the input is a string made of two uppercase letters followed by four digits.","^[A-Z]{2}[0-9]{4}$"
"Extract a string where the substring 'task' is immediately followed by a six-digit id.","^.*task\d{6}.*$"
"Validate a string that ends with the word 'graph'.","^.*graph$"
"Match a string containing the standalone whole word 'queue'.","^.*\bqueue\b.*$"
"Check if the input is a string made of three uppercase letters followed by one lowercase letter.","^[A-Z]{3}[a-z]{1}$"
"Match a string made of three uppercase letters followed by four lowercase letters.","^[A-Z]{3}[a-z]{4}$"
